record_id,pipeline_id,source_system,data_type,owner_team,ingestion_timestamp,last_validated_at,trust_score,completeness_ratio,freshness_hours,lineage_depth,row_count,null_rate,duplicate_rate,anomaly_score,schema_version,data_format,storage_region,applied_transformations,record_tags,data_classifier,pipeline_status,is_pii_masked,checksum_valid,sla_met,alert_triggered
REC-X720EAW9,ML_Feature_06,FTP_Server,user_events,infra_team,2023-10-04 16:56:43,2024-02-18 12:12:19,0.6515,0.7353,305.07,6.0,7302649,0.0715,0.0338,0.2482,v3.3,avro,ap-southeast-1,JOIN|FILTER|SPLIT,internal,high_value,validated,False,True,YES,False
REC-3VIA72HL,Stream_Ingest_02,Snowflake_DW,telemetry,analytics_core,2023-04-09 18:52:26,Unknown,0.7138,0.7143,705.83,2.0,2794052,0.1081,0.0009,0.0436,v5.2,json,ap-south-1,FILTER,pii|real_time,ml_ready,quarantined,True,True,YES,False
REC-DOJI4NAK,Stream_Ingest_02,Redshift_Cluster,inventory,data_team_alpha,2024-07-05 01:02:40,2024-09-25 11:58:55,0.5592,0.9298,516.98,6.0,2905206,0.0218,0.0696,0.1037,v4.5,parquet,us-east-1,JOIN,pii|financial,low_latency,quarantined,True,True,YES,False
REC-VBOVYPMQ,Archival_08,MongoDB_Atlas,audit_logs,analytics_core,2024-12-03 08:09:37,2024-12-24 15:40:03,0.5719,0.7231,459.72,5.0,2015370,0.0758,0.0531,0.2724,v1.9,delta,eu-central-1,JOIN|FILTER|AGGREGATE|CAST,real_time,archival,quarantined,True,True,YES,True
REC-KW32N43S,Batch_Transform_03,PostgreSQL_DB,telemetry,bi_squad,2024-11-25 09:08:38,2024-11-29 06:11:43,0.6743,0.7994,470.24,4.0,6712177,0.1359,0.0242,0.1553,v1.6,delta,us-west-2,ENCRYPT|MERGE,real_time|sensitive|pii,raw,validated,False,False,YES,False
REC-LAP9UQTI,ETL_Pipeline_01,REST_API_v2,clickstream,data_team_alpha,2023-02-16 05:59:43,2024-04-21 12:56:39,0.9626,0.8716,393.31,6.0,985534,0.0121,0.0171,0.2452,v4.1,csv,us-west-2,JOIN,pii|financial|sensitive,archival,active,False,True,YES,True
REC-8RSTVMLV,Aggregation_05,Snowflake_DW,transactions,data_team_beta,2023-09-24 20:11:45,2023-12-25 14:38:13,0.7544,0.8744,719.87,5.0,720226,0.0028,0.0305,0.2437,v2.4,csv,eu-central-1,NORMALIZE|SPLIT,sensitive,low_latency,under_review,True,False,YES,False
REC-IJAM0TAH,ETL_Pipeline_01,Oracle_DB,sensor_readings,infra_team,2023-12-30 01:18:17,2024-11-21 20:54:45,0.6074,0.7102,171.42,8.0,113836,0.1186,0.0422,0.1026,v2.5,orc,eu-central-1,JOIN|CAST|FILTER,real_time|internal|batch,raw,quarantined,False,True,NO,False
REC-4BHPRQC5,ETL_Pipeline_01,S3_Bucket_A,user_events,bi_squad,2024-10-02 07:45:01,2024-11-23 07:25:35,0.6063,0.8446,209.05,1.0,6394475,0.1338,0.0362,0.2999,v4.8,delta,eu-central-1,AGGREGATE|CAST|DEDUPLICATE,pii,ml_ready,quarantined,True,True,YES,False
REC-NULL-VAL,Batch_Transform_03,PostgreSQL_DB,telemetry,bi_squad,2024-11-25 09:08:38,2024-11-29 06:11:43,Unknown,0.7994,470.24,4.0,Unknown,0.1359,0.0242,0.1553,v1.6,delta,us-west-2,ENCRYPT|MERGE,real_time|sensitive|pii,raw,validated,False,False,YES,False
